Sector,Name,omega_G,omega_S,C_level,Share_pct
1,"Agriculture, Forestry \& Fishing",0.0734579291889294,0,0.0377902033917499,4.07706444588576
2,"Mining",1.90611389393616e-08,0,1.18043097837106e-08,1.27352931204109e-06
3,"Manufacturing",0.870580171569266,0,0.391613718377223,42.2499543377811
4,"Electricity, Gas, Water \& Waste",0.0559618611195263,0,0.0396238135805759,4.27488679764659
5,"Construction",1.90611389393616e-08,0,1.20774144281255e-08,1.30299370058135e-06
6,"Retail, Hotels \& Restaurants",0,0.120081844000667,0.0561253786951489,6.05518799721045
7,"Transport, Communications \& Info.",0,0.199135493526894,0.0821185131854608,8.85950432673604
8,"Financial Intermediation",0,0.121450487954792,0.0582097700518887,6.28006632887169
9,"Real Estate \& Housing Services",0,0.233687536444976,0.104477231859926,11.2717151322255
10,"Business Services",0,0.0462580727745816,0.0217930716026942,2.35118494803827
11,"Personal Services",0,0.276829152305442,0.133892819890709,14.4452690523219
12,"Public Administration",0,0.00255741299264734,0.00125283209622945,0.135164056759661
